id,name,address,country,contact_person,phone,email,product_category,critical_level
17,"""Avnet Sales – Detroit""",""" MI""","""Detroit, MI, USA""","""United States""","""na""","""na""","""detroit@avnet.com""","""distribution"""
18,"""Avnet Sales – Minneapolis""",""" MN""","""Minneapolis, MN, USA""","""United States""","""na""","""na""","""minneapolis@avnet.com""","""distribution"""
19,"""Avnet Sales – St. Louis""",""" MO""","""St. Louis, MO, USA""","""United States""","""na""","""na""","""stlouis@avnet.com""","""distribution"""
20,"""Avnet Sales – Parsippany""",""" NJ""","""Parsippany, NJ, USA""","""United States""","""na""","""na""","""newjersey@avnet.com""","""distribution"""
21,"""Avnet Sales – Holbrook""",""" NY""","""Holbrook, NY, USA""","""United States""","""na""","""na""","""longisland@avnet.com""","""distribution"""
22,"""Avnet Sales – Rochester""",""" NY""","""Rochester, NY, USA""","""United States""","""na""","""na""","""rochester@avnet.com""","""distribution"""
23,"""Avnet Sales – Raleigh""",""" NC""","""Raleigh, NC, USA""","""United States""","""na""","""na""","""raleigh@avnet.com""","""distribution"""
24,"""Avnet Sales – Cleveland""",""" OH""","""Cleveland, OH, USA""","""United States""","""na""","""na""","""cleveland@avnet.com""","""distribution"""
25,"""Avnet Sales – Dayton""",""" OH""","""Dayton, OH, USA""","""United States""","""na""","""na""","""dayton@avnet.com""","""distribution"""
26,"""Avnet Sales – Portland""",""" OR""","""Portland, OR, USA""","""United States""","""na""","""na""","""portland@avnet.com""","""distribution"""
27,"""Avnet Sales – Philadelphia""",""" PA""","""Philadelphia, PA, USA""","""United States""","""na""","""na""","""philadelphia@avnet.com""","""distribution"""
28,"""Avnet Sales – Pittsburgh""",""" PA""","""Pittsburgh, PA, USA""","""United States""","""na""","""na""","""pittsburgh@avnet.com""","""distribution"""
29,"""Avnet Sales – Austin""",""" TX""","""Austin, TX, USA""","""United States""","""na""","""na""","""austin@avnet.com""","""distribution"""
30,"""Avnet Sales – Dallas""",""" TX""","""Dallas, TX, USA""","""United States""","""na""","""na""","""dallas@avnet.com""","""distribution"""
31,"""Avnet Sales – Houston""",""" TX""","""Houston, TX, USA""","""United States""","""na""","""na""","""houston@avnet.com""","""distribution"""
32,"""Avnet Sales – Salt Lake City""",""" UT""","""Salt Lake City, UT, USA""","""United States""","""na""","""na""","""saltlakecity@avnet.com""","""distribution"""
33,"""Avnet Sales – Richmond""",""" VA""","""Richmond, VA, USA""","""United States""","""na""","""na""","""virginia@avnet.com""","""distribution"""
34,"""Avnet Sales – Seattle""",""" WA""","""Seattle, WA, USA""","""United States""","""na""","""na""","""seattle@avnet.com""","""distribution"""
35,"""Avnet Sales – Milwaukee""",""" WI""","""Milwaukee, WI, USA""","""United States""","""na""","""na""","""milwaukee@avnet.com""","""distribution"""
36,"""Avnet Canada Calgary""","""Calgary, AB, Canada""","""Canada""","""na""","""na""","""wc@avnet.com""","""distribution""","""medium"""
37,"""Avnet Canada Montreal""","""Montréal, QC, Canada""","""Canada""","""na""","""na""","""montreal@avnet.com""","""distribution""","""medium"""
38,"""Avnet Canada Ottawa""","""Ottawa, ON, Canada""","""Canada""","""na""","""na""","""ottawa@avnet.com""","""distribution""","""medium"""
39,"""Avnet Canada Toronto""","""Toronto, ON, Canada""","""Canada""","""na""","""na""","""toronto@avnet.com""","""distribution""","""medium"""
40,"""Avnet Canada Vancouver""","""Vancouver, BC, Canada""","""Canada""","""na""","""na""","""wc@avnet.com""","""distribution""","""medium"""
41,"""Avnet Canada Winnipeg""","""Winnipeg, MB, Canada""","""Canada""","""na""","""na""","""wc@avnet.com""","""distribution""","""medium"""
42,"""Avnet Asia Pte Ltd Singapore HQ""","""151 Lorong Chuan #05-02A&03, New Tech Park, Singapore 556741""","""Singapore""","""na""","""+65 6580 6000""","""na""","""electronic components distribution""","""medium"""
43,"""Avnet Electronics Marketing Melbourne""","""Unit 2, 17-19 Melrich Road, Bayswater VIC 3153, Australia""","""Australia""","""na""","""+61 3 9760 4321""","""na""","""marketing & distribution""","""medium"""
44,"""Avnet Electronics Marketing Sydney""","""72 Ferndell Street, Chester Hill NSW 2162, Australia""","""Australia""","""na""","""+61 2 9645 8850""","""na""","""marketing & distribution""","""medium"""
45,"""Avnet China Beijing""","""Unit 1705, Beijing Champ City Bldg, No.12 Taiyanggong Middle Rd, Beijing 100028, China""","""China""","""na""","""+86 10 5632 3666""","""na""","""distribution""","""medium"""
46,"""Avnet China Shanghai""","""12F Innov Tower, No.1801 Hongmei Rd, Shanghai 200233, China""","""China""","""na""","""+86 21 3416 7000""","""na""","""distribution""","""medium"""
47,"""Avnet China Shenzhen""","""5F, Building 1, Wise R&D Centre, 1 Liuxian Road, Bao’an District, Shenzhen, China""","""China""","""na""","""+86 755 2184 5666""","""na""","""distribution""","""medium"""
48,"""Avnet Taiwan Taipei""","""5F, No.3 YuanCyu St, Nangang Software Park, Taipei 115, Taiwan""","""Taiwan""","""na""","""+886 2 2655 8688""","""na""","""distribution""","""medium"""
49,"""Avnet Japan Tokyo""","""Yebisu Garden Place Tower 10F, 4-20-3 Ebisu, Shibuya-ku, Tokyo 150-6010, Japan""","""Japan""","""na""","""+81 3 5792 8210""","""na""","""distribution""","""medium"""
50,"""Avnet Kowloon Hong Kong""","""22/F, Tower 2, Enterprise Square Five, 38 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong""","""Hong Kong""","""na""","""+852 2176 5388""","""na""","""distribution""","""medium"""
51,"""Avnet Bangalore India""","""No: 402, 4th Floor, Tower B, RMZ Infinity, No.3 Old Madras Road, Bangalore 560016, India""","""India""","""na""","""+91 80 4060 4000""","""na""","""electronic components distribution""","""medium"""
52,"""Avnet Chennai India""","""Spaces, 10th Floor, CITIUS A Block, Olympia Tech Park, Guindy, Chennai 600032, India""","""India""","""na""","""+91 44 4299 4030""","""na""","""electronic components distribution""","""medium"""
53,"""Avnet Hyderabad India""","""D. No.6-3-927/A&B, #4B, 4th Floor, Shobhan Building, Rajbhavan Road, Somajiguda, Hyderabad 500082, India""","""India""","""na""","""+91 40 4020 9200""","""na""","""electronic components distribution""","""medium"""
54,"""Avnet New Delhi India""","""No.304, 3rd Fl, Baani Corporate One, Plot 5, Phase 3, New Delhi 110025, India""","""India""","""na""","""+91 11 4648 1100""","""na""","""electronic components distribution""","""medium"""
55,"""Avnet Pune India""","""Office No.301/302, 3rd Floor, The Centriole Building, Plot No.90, Anand Park, Aundh, Pune 411007, India""","""India""","""na""","""+91 20 6606 2800""","""na""","""electronic components distribution""","""medium"""
56,"""Avnet Embedded Germany Stutensee""","""Industriestr. 16, 76297 Stutensee, Germany""","""Germany""","""na""","""+49 7249 9100""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
57,"""Avnet Integrated EMEA Freiburg""","""Münstertäler Straße 1, 79427 Eschbach, Germany""","""Germany""","""na""","""+49 7634 5903400""","""integrated@avnet.com""","""integrated solutions""","""medium"""
58,"""Avnet Embedded Austria Vienna""","""Schönbrunner Straße 297-307, 1120 Vienna, Austria""","""Austria""","""na""","""+43 1 86642400""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
59,"""Avnet Embedded Czech Prague""","""Nádražní 2369/10, 67801 Blansko, Czech Republic""","""Czech Republic""","""na""","""+420 516411494""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
60,"""Avnet Embedded Denmark Herlev""","""Lyskær 9, 2730 Herlev, Denmark""","""Denmark""","""na""","""+45 36342801""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
61,"""Avnet Embedded Finland Espoo""","""Pihatörmä 1B, 02240 Espoo, Finland""","""Finland""","""na""","""+358 207499260""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
62,"""Avnet Embedded France Lyon""","""Parc Club du Moulin à Vent, Bat 10, Rue du Dr G Lévy, Vénissieux Cedex 69693, France""","""France""","""na""","""+33 478771392""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
63,"""Avnet Embedded France Paris""","""16 Avenue Carnot, 91349 Massy Cedex, France""","""France""","""na""","""+33 164479839""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
64,"""Avnet Embedded France Rennes""","""35 Avenue des Peupliers, 35510 Cesson Sévigné, France""","""France""","""na""","""+33 299773700""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
65,"""Avnet Embedded France Strasbourg""","""Rue Gruninger, 67400 Illkirch-Graffenstaden, France""","""France""","""na""","""+33 390402021""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
66,"""Avnet Embedded Italy Cusano Milanino""","""Via Manzoni 44, 20095 Cusano Milanino, Italy""","""Italy""","""na""","""+39 02660921""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
67,"""Avnet Embedded Italy Ivrea""","""Via Guglielmo Jervis 11/D, 10015 Ivrea (TO), Italy""","""Italy""","""na""","""na""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
68,"""Avnet Embedded Malta""","""UB40, San Gwann Industrial Estate, SGN3000 San Gwann, Malta""","""Malta""","""na""","""+356 25706000""","""malta@avnet.eu""","""embedded solutions""","""medium"""
69,"""Avnet Embedded Portugal Porto""","""Tower Plaza, Rot. Eng. Edgar Cardoso 23, Piso 14, Sala E, 4400-676 Vila Nova de Gaia, Portugal""","""Portugal""","""na""","""+351 223779502""","""porto@avnet.eu""","""embedded solutions""","""medium"""
70,"""Avnet Embedded Spain Barcelona""","""Tarragona 151-159, Floor 19, Torre N y N, 08014 Barcelona, Spain""","""Spain""","""na""","""+34 933278530""","""barcelona@avnet.eu""","""embedded solutions""","""medium"""
71,"""Avnet Embedded Spain Bilbao""","""Zabalgane Plaza 12, Bajo Izda, 48960 Galdakao (Bizkaia), Spain""","""Spain""","""na""","""+34 944572777""","""bilbao@avnet.eu""","""embedded solutions""","""medium"""
72,"""Avnet Embedded Spain Madrid""","""C/ Chile 10, Edif. Madrid 92 – Planta 2ª, Ofic.229, 28290 Las Matas, Madrid, Spain""","""Spain""","""na""","""+34 913727100""","""madrid@avnet.eu""","""embedded solutions""","""medium"""
73,"""Avnet Embedded Sweden Solna""","""Hemvärnsgatan 9, 17154 Solna, Sweden""","""Sweden""","""na""","""+46 858746400""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
74,"""Avnet Embedded Switzerland Dietikon""","""Bernstrasse 392, 8953 Dietikon, Switzerland""","""Switzerland""","""na""","""na""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
75,"""Avnet Embedded Switzerland Rothrist""","""Rössliweg 29b, 4852 Rothrist, Switzerland""","""Switzerland""","""na""","""na""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
76,"""Avnet Embedded Turkey Istanbul""","""Tatlısu Mahallesi Pakdil Sokak No:7, B Blok Kat 1, Ümraniye 34774 Istanbul, Turkey""","""Turkey""","""na""","""+90 2165288388""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
77,"""Avnet Embedded UK Bolton""","""Oceanic Building, Waters Meeting Road, Bolton BL1 8SW, United Kingdom""","""United Kingdom""","""na""","""na""","""AvnetEmbedded@avnet.eu""","""embedded solutions""","""medium"""
78,"""Avnet EMG Ltd Maidenhead""","""Unit 5B, Waltham Park, White Waltham, Maidenhead SL6 3TN, United Kingdom""","""United Kingdom""","""na""","""na""","""EMG distribution""","""medium""",""""""
79,"""Avnet Europe Comm Belgium Merelbeke""","""Axxes Business Park, Guldensporenpark 17, Building B, 3rd Floor, Merelbeke 9820, Belgium""","""Belgium""","""na""","""na""","""distribution""","""medium""",""""""
80,"""Avnet EMG GmbH Wiesbaden""","""Borsigstraße 32, 65205 Wiesbaden, Germany""","""Germany""","""na""","""na""","""EMG distribution""","""medium""",""""""
81,"""Avnet EMG France Toulouse""","""8 Chemin de la Terrasse, Bâtiment D, Parc de la Plaine, Toulouse 31500, France""","""France""","""na""","""na""","""EMG distribution""","""medium""",""""""
82,"""Avnet EMG Italy Florence""","""Via Panciatichi 40, 50127 Florence, Italy""","""Italy""","""na""","""na""","""EMG distribution""","""medium""",""""""
83,"""Avnet EMG Italy Modena""","""Via Scaglia Est 33, 41126 Modena, Italy""","""Italy""","""na""","""na""","""EMG distribution""","""medium""",""""""
84,"""Avnet EMG Italy Padova""","""Viale dell Industria 23, 35129 Padova, Italy""","""Italy""","""na""","""na""","""EMG distribution""","""medium""",""""""
85,"""Avnet EM Sp. z o.o. Warsaw""","""ul. Postepu 14, 02-674 Warsaw, Poland""","""Poland""","""na""","""na""","""distribution""","""medium""",""""""
86,"""Avnet EM Sp. z o.o. Gdansk""","""Targ Rybny 11/13, 80-838 Gdansk, Poland""","""Poland""","""na""","""na""","""distribution""","""medium""",""""""
87,"""Avnet EM Sp. z o.o. Katowice""","""ul. Staromiejska 7, 40-013 Katowice, Poland""","""Poland""","""na""","""na""","""distribution""","""medium""",""""""
88,"""Avnet EM Sp. z o.o. Wroclaw""","""Plac Solny 16, 50-062 Wroclaw, Poland""","""Poland""","""na""","""na""","""distribution""","""medium""",""""""
89,"""Avnet Romania Bucharest""","""Green Court Bucharest, Building B, 4 Gara Herastrau Street, 020334 Bucharest, Romania""","""Romania""","""na""","""na""","""distribution""","""medium""",""""""
90,"""Avnet EM LLC Moscow""","""Korovinskoye shosse 10, Building 2, Moscow 127486, Russian Federation""","""Russian Federation""","""na""","""na""","""distribution""","""medium""",""""""
91,"""Avnet EM LLC Saint Petersburg""","""Novoroshinskaya ul. 4, Office 1207-2, Saint Petersburg 196084, Russian Federation""","""Russian Federation""","""na""","""na""","""distribution""","""medium""",""""""
92,"""Avnet Europe Slovenia Ljubljana""","""Dunajska 167, 1000 Ljubljana, Slovenia""","""Slovenia""","""na""","""na""","""distribution""","""medium""",""""""
93,"""Avnet Iberia Spain Barcelona""","""NyN Tower, C/ Tarragona 151-157, Floor 19, 08014 Barcelona, Spain""","""Spain""","""na""","""na""","""distribution""","""medium""",""""""
94,"""Avnet Iberia Spain Bilbao""","""Plaza Zabalgane 12, Bajo Izqda, 48960 Galdakao (Vizcaya), Spain""","""Spain""","""na""","""na""","""distribution""","""medium""",""""""
95,"""Avnet Nortec A/S Herlev""","""Lyskær 9, 2730 Herlev, Denmark""","""Denmark""","""na""","""na""","""distribution""","""medium""",""""""
96,"""Avnet Nortec A/S Them""","""Knudlundvej 24, 08653 Them, Denmark""","""Denmark""","""na""","""na""","""distribution""","""medium""",""""""
97,"""Avnet Nortec Oy Espoo""","""Klovinpellontie 1-3, 02180 Espoo, Finland""","""Finland""","""na""","""na""","""distribution""","""medium""",""""""
98,"""Avnet Embedded Germany Deggendorf""","""Hans-Obser-Str. 12, 94469 Deggendorf, Germany""","""Germany""","""na""","""na""","""embedded solutions""","""medium""",""""""
99,"""Avnet Embedded Germany Hamburg""","""Oeleckerring 11, 22419 Hamburg, Germany""","""Germany""","""na""","""na""","""embedded solutions""","""medium""",""""""
100,"""Avnet EMG AG Rothrist""","""Rössliweg 29b, 4852 Rothrist, Switzerland""","""Switzerland""","""na""","""na""","""EMG distribution""","""medium""",""""""
